acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists
0.18,https://api.spotify.com/v1/audio-analysis/2dyDSWM5tzbssqqN4LyGCV,0.532,392639,0.844,2dyDSWM5tzbssqqN4LyGCV,0.000174,0,0.0869,-6.393,1,0.104,137.954,4,https://api.spotify.com/v1/tracks/2dyDSWM5tzbssqqN4LyGCV,audio_features,spotify:track:2dyDSWM5tzbssqqN4LyGCV,0.0822,2020-01-21T13:04:15Z,"Barravenida, Pt. 2",BaianaSystem
0.00893,https://api.spotify.com/v1/audio-analysis/1JAuKE1R2yAzDpa2NuNKi7,0.703,224187,0.894,1JAuKE1R2yAzDpa2NuNKi7,0.00908,0,0.137,-4.086,0,0.0295,139.986,4,https://api.spotify.com/v1/tracks/1JAuKE1R2yAzDpa2NuNKi7,audio_features,spotify:track:1JAuKE1R2yAzDpa2NuNKi7,0.937,2020-01-13T20:06:18Z,Superafim,CSS
0.511,https://api.spotify.com/v1/audio-analysis/74SUn8w4lYSwgOGPvVZiEo,0.705,292600,0.766,74SUn8w4lYSwgOGPvVZiEo,0.845,8,0.109,-8.432,1,0.033,138.033,4,https://api.spotify.com/v1/tracks/74SUn8w4lYSwgOGPvVZiEo,audio_features,spotify:track:74SUn8w4lYSwgOGPvVZiEo,0.279,2020-01-12T18:36:27Z,Gallowdance,Lebanon Hanover
1.38e-05,https://api.spotify.com/v1/audio-analysis/6col06dC7iossljlQQ1Xx2,0.463,207533,0.852,6col06dC7iossljlQQ1Xx2,0.043,4,0.108,-5.288,1,0.0687,169.87,4,https://api.spotify.com/v1/tracks/6col06dC7iossljlQQ1Xx2,audio_features,spotify:track:6col06dC7iossljlQQ1Xx2,0.67,2020-01-07T14:30:25Z,Little Thoughts,Bloc Party
0.00824,https://api.spotify.com/v1/audio-analysis/3RCj5fG55qjtmnEML1gpnA,0.774,347880,0.794,3RCj5fG55qjtmnEML1gpnA,0.00317,5,0.08,-4.446,0,0.0358,120.002,4,https://api.spotify.com/v1/tracks/3RCj5fG55qjtmnEML1gpnA,audio_features,spotify:track:3RCj5fG55qjtmnEML1gpnA,0.724,2019-12-24T20:35:49Z,Over And Over,Hot Chip
0.00577,https://api.spotify.com/v1/audio-analysis/5je0SHnt2kLVF69FSaxCLr,0.535,185690,0.923,5je0SHnt2kLVF69FSaxCLr,0.00019,0,0.0522,-4.832,1,0.0622,130.963,4,https://api.spotify.com/v1/tracks/5je0SHnt2kLVF69FSaxCLr,audio_features,spotify:track:5je0SHnt2kLVF69FSaxCLr,0.583,2019-12-16T16:59:22Z,Tasteless,Shame
0.454,https://api.spotify.com/v1/audio-analysis/2NCBjlH7FHEG7hXcnvUaWA,0.782,127273,0.494,2NCBjlH7FHEG7hXcnvUaWA,6.31e-05,0,0.134,-1.458,1,0.0339,65.832,4,https://api.spotify.com/v1/tracks/2NCBjlH7FHEG7hXcnvUaWA,audio_features,spotify:track:2NCBjlH7FHEG7hXcnvUaWA,0.401,2019-12-14T22:35:31Z,Ugotme,Omar Apollo
0.0398,https://api.spotify.com/v1/audio-analysis/4gZDCOFuLCxCRWNhSEcOtJ,0.655,202627,0.668,4gZDCOFuLCxCRWNhSEcOtJ,0.0302,0,0.0759,-6.733,1,0.0272,93.003,4,https://api.spotify.com/v1/tracks/4gZDCOFuLCxCRWNhSEcOtJ,audio_features,spotify:track:4gZDCOFuLCxCRWNhSEcOtJ,0.867,2019-12-14T22:27:47Z,These Days,Wallows
0.196,https://api.spotify.com/v1/audio-analysis/7gQn565GPnnoKUcKQ2FSxB,0.486,160000,0.604,7gQn565GPnnoKUcKQ2FSxB,0.0,0,0.107,-5.934,0,0.215,187.704,4,https://api.spotify.com/v1/tracks/7gQn565GPnnoKUcKQ2FSxB,audio_features,spotify:track:7gQn565GPnnoKUcKQ2FSxB,0.721,2019-12-03T12:02:50Z,Raggamuffin,Selah Sue
0.0595,https://api.spotify.com/v1/audio-analysis/6jV4D5egMQKJzpcu9blbG6,0.363,410600,0.584,6jV4D5egMQKJzpcu9blbG6,0.677,7,0.0991,-7.635,1,0.0288,139.23,4,https://api.spotify.com/v1/tracks/6jV4D5egMQKJzpcu9blbG6,audio_features,spotify:track:6jV4D5egMQKJzpcu9blbG6,0.467,2019-11-21T21:54:15Z,Sticky Hulks,Thee Oh Sees
